original_varname,acc_varname,groupid
Betula tortuosa,Betula pubescens-type,TRSH
Betula-platyphylla,Betula pubescens-type,TRSH
Betula sect. Costatae,Betula sect. Costatae,TRSH
Betula/Corylus,Betula/Corylus,TRSH
Betula/Corylus/Myrica,Betula/Corylus/Myrica,TRSH
Betula-Tetrade,Betula: anther,MACR
Betulaceae,Betulaceae,TRSH
Arnica montana,Bidens-type,HERB
Bidens,Bidens-type,HERB
Bidens-type,Bidens-type,HERB
Biebersteinia,Biebersteinia,UPHE
Bifaria type,Bifaria type,INUN
Bifora radians-type,Bifora radians-type,HERB
Bignoniaceae,Bignoniaceae,TRSH
Bischofia,Bischofia,TRSH
Bitectatodinium tepikiense,Bitectatodinium tepikiense,DINO
Blechnum,Blechnum spicant,VACR
Blechnum spicant,Blechnum spicant,VACR
Bombacaceae,Bombacaceae,TRSH
BORAGINACEAE,Boraginaceae,HERB
Boraginaceae,Boraginaceae,HERB
Boraginaceae indet.,Boraginaceae,HERB
Boraginaceae undiff.,Boraginaceae,HERB
Borrag-eae,Boraginaceae,HERB
Symphytum,Boraginaceae,HERB
BOTRYCHIUM,Botrychium,VACR
Botrychium,Botrychium,VACR
Botrychium-type,Botrychium,VACR
Botrychium boreale,Botrychium boreale-type,VACR
Botrychium lunaria,Botrychium lunaria-type,VACR
Botrychium lunaria-type,Botrychium lunaria-type,VACR
Botrychium multifidum,Botrychium lunaria-type,VACR
BOTRYOCOCCACEAE,Botryococcaceae,NOPO
Botryococcaceae,Botryococcaceae,NOPO
Botryoccocus,Botryococcus,ALGA
Botryococcus,Botryococcus,ALGA
Botryococcus braunii,Botryococcus braunii,ALGA
Botryococcus pila,Botryococcus pila,ALGA
Bowringia,Bowringia,LIAN
"cf. Type 1024_Conidia, Brachysporium",Brachysporium,FUNG
Arabidopsis,Brassicaceae,HERB
Arabis,Brassicaceae,HERB
BRASSICACEAE,Brassicaceae,HERB
Barbarea-type,Brassicaceae,HERB
Brass-eae,Brassicaceae,HERB
Brassica,Brassicaceae,HERB
Brassica type,Brassicaceae,HERB
Brassica-type,Brassicaceae,HERB
Brassicacaeae,Brassicaceae,HERB
Brassicaceae,Brassicaceae,HERB
Brassicaceae Hornungia & Sinapis t.,Brassicaceae,HERB
Brassicaceae cf. Cardamine,Brassicaceae,HERB
Brassicaceae clumps,Brassicaceae,HERB
Brassicaceae undiff.,Brassicaceae,HERB
Brassicaeae,Brassicaceae,HERB
CARDAMINE TYPE,Brassicaceae,HERB
CRUCIFERAE,Brassicaceae,HERB
Capsella-type,Brassicaceae,HERB
Cardamine,Brassicaceae,HERB
Cardamine parviflora,Brassicaceae,HERB
Cardamine pratensis-type,Brassicaceae,HERB
Cardamine-type,Brassicaceae,HERB
Cruciferae,Brassicaceae,HERB
Cruciferae undiff.,Brassicaceae,HERB
Cruciferae-type,Brassicaceae,HERB
Descurainia,Brassicaceae,HERB
Draba,Brassicaceae,HERB
Hornungia type,Brassicaceae,HERB
Rorippa amphibia,Brassicaceae,AQUA
Sinapis type,Brassicaceae,HERB
Bredia,Bredia,HERB
Bridelia,Bridelia,TRSH
Brigantedinium,Brigantedinium,DINO
Brigantedinium,Brigantedinium,ALGA
Broussonetia,Broussonetia,TRSH
Bruckenthalia,Bruckenthalia spiculifolia,DWAR
Bruguiera,Bruguiera,TRSH
Bryales/Botrychium,Bryales/Botrychium,VACR
Bryonia,Bryonia,HERB
BRYOPHYTA,Bryophyte spores,BRYO
Bryales,Bryophyte spores,BRYO
Bryales undiff.,Bryophyte spores,BRYO
Bryidae,Bryophyte spores,BRYO
Bryideae,Bryophyte spores,BRYO
Bryophyta,Bryophyte spores,BRYO
Bryophyte spores,Bryophyte spores,BRYO
Bryophytes,Bryophyte spores,BRYO
cf. Bryales,Bryophyte spores,BRYO
Buddleia,Buddleia,TRSH
Lithospermum arvense,Buglossoides arvensis,HERB
Lithospermum arvense-type,Buglossoides arvensis,HERB
"Apiaceae, Bupleurum",Bupleurum,HERB
BUPLEURUM,Bupleurum,HERB
Bupleurum,Bupleurum,HERB
Bupleurum falcatum-type,Bupleurum,HERB
Butomaceae,Butomus umbellatus,AQUA
Butomus,Butomus umbellatus,HELO
Butomus,Butomus umbellatus,AQUA
Butomus umbellatus,Butomus umbellatus,AQUA
Buxaceae,Buxaceae,TRSH
BUXUS,Buxus,TRSH
Buxus,Buxus,TRSH
Buxus clumps,Buxus,TRSH
Buxus clumps of two,Buxus,TRSH
Buxus sempervirens,Buxus,TRSH
Byssothecium circinans,Byssothecium circinans,FUNG
Cactaceae,Cactaceae,SUCC
Caesalpinia,Caesalpinia,TRSH
Cajanus,Cajanus,TRSH
Calamus,Calamus,PALM
Calendula,Calendula,HERB
Calendula type,Calendula,HERB
Calendula-type,Calendula,HERB
Calla,Calla palustris,AQUA
Callidina,Callidina angusticollis,ROTI
Callidina angusticollis,Callidina angusticollis,ROTI
Habrotrocha,Callidina angusticollis,ROTI
Calligonum,Calligonum,TRSH
Pteropyrum,Calligonum-type,HERB
Callitriche,Callitriche,HERB
Callitriche,Callitriche,AQUA
Callitriche obtusangula,Callitriche,AQUA
CALLUNA,Calluna vulgaris,TRSH
CALLUNA VULGARIS,Calluna vulgaris,TRSH
Calluna,Calluna vulgaris,TRSH
Calluna,Calluna vulgaris,DWAR
Calluna vulgaris,Calluna vulgaris,TRSH
Calluna vulgaris,Calluna vulgaris,DWAR
Calluna vulgaris-type,Calluna vulgaris,TRSH
Caltha,Caltha palustris,AQUA
Caltha,Caltha palustris,HERB
Caltha palustris,Caltha palustris,AQUA
Caltha T,Caltha-type,HELO
Caltha palustris type,Caltha-type,HELO
Caltha palustris-type,Caltha-type,AQUA
Caltha palustris-type,Caltha-type,HELO
Caltha typ,Caltha-type,HELO
Caltha type,Caltha-type,HELO
Caltha-type,Caltha-type,HELO
Caltha-type,Caltha-type,HERB
CALYSTEGIA,Calystegia,HERB
Calystegia,Calystegia,HERB
Calystegia sepium,Calystegia,HERB
Convolvulus sepium,Calystegia,HERB
Convolvulus sepium-type,Calystegia,HERB
Camelia type,Camellia,TRSH
Camellia,Camellia,TRSH
Campanula gieseckiana,Campanula giesekiana,HERB
Campanula,Campanula medium,HERB
Campanula trachelium T,Campanula trachelium-type,HERB
Campanula trachelium-type,Campanula trachelium-type,HERB
CAMPANULACEAE,Campanulaceae,HERB
Campanulaceae,Campanulaceae,HERB
Campanulaceae indet.,Campanulaceae,HERB
Canarium,Canarium,TRSH
Cannabaceae,Cannabaceae,TRSH
Cannabiaceae,Cannabaceae,TRSH
Celtis-Aphananthe,Cannabaceae,TRSH
CANNABACEAE,Cannabaceae/Urticaceae,HERB
Cannabis-Humulus,Cannabaceae/Urticaceae,HERB
URTICACEAE,Cannabaceae/Urticaceae,HERB
Cannabis,Cannabis sativa,HERB
Cannabis sativa,Cannabis sativa,HERB
Canthium,Canthium,TRSH
Capparidaceae,Capparaceae,TRSH
Capparis,Capparis,TRSH
Capparis spinosa,Capparis,TRSH
Caprifoliaceae,Caprifoliaceae,TRSH
Scabiosa/Succisa-type,Caprifoliaceae,HERB
Caragana,Caragana,TRSH
Carallia,Carallia,TRSH
Cardamine type,Cardamine-type,HERB
"Asteraceae, Carduncellus",Carduncellus-type,HERB
Carduus,Carduus,HERB
Carduus type,Carduus,HERB
Carduus,Carduus-type,HERB
Carduus t.,Carduus-type,HERB
Carduus-type,Carduus-type,HERB
CAREX type,Carex,HELO
Carex,Carex,AQUA
Carex,Carex,HELO
Carex hirta-type,Carex,AQUA
Carex tp.,Carex,HELO
Carex typ,Carex,HELO
Carex-type,Carex,AQUA
Carex-type,Carex,HELO
Carex simbiotic fungi (carex indicator),Carex simbiotic fungi (carex indicator),FUNG
Carlina,Carlina,HERB
Carpinus,Carpinus,TRSH
CARPINUS,Carpinus betulus,TRSH
CARPINUS BETULUS,Carpinus betulus,TRSH
Carpinus,Carpinus betulus,TRSH
Carpinus bet.,Carpinus betulus,TRSH
Carpinus betulus,Carpinus betulus,TRSH
Carpinus betulus-type,Carpinus betulus,TRSH
Carpinus clumps,Carpinus betulus,TRSH
Carpinus type,Carpinus betulus,TRSH
Carpinus viminalis-type,Carpinus betulus,TRSH
Carpinus-type,Carpinus betulus,TRSH
Carpobrotus,Carpobrotus,HERB
Asteraceae carthamus,Carthamus-type,HERB
"Asteraceae, Carthamus",Carthamus-type,HERB
Carthamus,Carthamus-type,HERB
Carum carvi,Carum carvi,HERB
Carya,Carya,TRSH
CARYOPHYLLACEAE,Caryophyllaceae (periporate excl. Paronychioideae),HERB
Cariophyllaceae,Caryophyllaceae (periporate excl. Paronychioideae),HERB
Caryop-eae,Caryophyllaceae (periporate excl. Paronychioideae),HERB
Caryophillaceae,Caryophyllaceae (periporate excl. Paronychioideae),HERB
Caryophulaceae,Caryophyllaceae (periporate excl. Paronychioideae),HERB
Caryophylaceae,Caryophyllaceae (periporate excl. Paronychioideae),HERB
Caryophyllac.,Caryophyllaceae (periporate excl. Paronychioideae),HERB
Caryophyllaceae,Caryophyllaceae (periporate excl. Paronychioideae),HERB
Caryophyllaceae (periporate excl. Paronychioideae),Caryophyllaceae (periporate excl. Paronychioideae),HERB
Caryophyllaceae cf lepyrodialis,Caryophyllaceae (periporate excl. Paronychioideae),HERB
Caryophyllaceae pro parte,Caryophyllaceae (periporate excl. Paronychioideae),HERB
Caryophyllaceae subf. Silenoideae-type,Caryophyllaceae (periporate excl. Paronychioideae),HERB
Caryophyllaceae undiff.,Caryophyllaceae (periporate excl. Paronychioideae),HERB
Caryophyllaceae undiff. type,Caryophyllaceae (periporate excl. Paronychioideae),HERB
Coryophyllaceae,Caryophyllaceae (periporate excl. Paronychioideae),HERB
Sagina,Caryophyllaceae (periporate excl. Paronychioideae),HERB
Silene vulgaris-type,Caryophyllaceae (periporate excl. Paronychioideae),HERB
cf. Lychnis flos-cuculi,Caryophyllaceae (periporate excl. Paronychioideae),HERB
cf. Silene alba,Caryophyllaceae (periporate excl. Paronychioideae),INUN
cf. Stellaria,Caryophyllaceae (periporate excl. Paronychioideae),INUN
Casearia,Casearia,TRSH
Cassia,Cassia,TRSH
Castanea,Castanea,TRSH
CASTANEA,Castanea sativa,TRSH
Castanea,Castanea sativa,TRSH
Castanea clumps,Castanea sativa,TRSH
Castanea sativa,Castanea sativa,TRSH
Castanea-type,Castanea sativa,TRSH
Castenea,Castanea sativa,TRSH
Castanopsis,Castanopsis,TRSH
Castanopsis+Lithocarpus,Castanopsis,TRSH
Casuarina,Casuarina,TRSH
Cathaya,Cathaya-type,TRSH
CEDRUS,Cedrus,TRSH
Cedrus,Cedrus,TRSH
Cedrus atlantica,Cedrus,TRSH
Cedrus cf. C. atlantica,Cedrus,TRSH
Cedrus libani,Cedrus,TRSH
Celastraceae,Celastraceae,TRSH
Celastrus,Celastrus,TRSH
CELTIS,Celtis,TRSH
Celtis,Celtis,TRSH
"Asteraceae, Centaurea ustulata",Centaurea,HERB
CENTAUREA,Centaurea,HERB
Centaurea,Centaurea,HERB
Centaurea jacea,Centaurea,HERB
Centaurea nigra-type,Centaurea,HERB
Centaurea pro parte,Centaurea,HERB
Centaurea rovinata,Centaurea,HERB
Centaurea sp.,Centaurea,HERB
Centaurea undiff.,Centaurea,HERB
Centaurea undiff. type,Centaurea,HERB
Centaurea undifferentiated,Centaurea,HERB
Centaurea-type,Centaurea,HERB
cf. Centaurea nigra-type,Centaurea,INUN
cf. Centaurea scabiosa-type,Centaurea,INUN
Centaurea alpina-type,Centaurea alpina-type,HERB
Asteraceae Centaurea cyanus,Centaurea cyanus-type,HERB
Cent._cy-s,Centaurea cyanus-type,HERB
Centaurea cyanus,Centaurea cyanus-type,HERB
Centaurea cyanus  type,Centaurea cyanus-type,HERB
Centaurea cyanus t.,Centaurea cyanus-type,HERB
Centaurea cyanus type,Centaurea cyanus-type,HERB
Centaurea cyanus-type,Centaurea cyanus-type,HERB
Centaurea depressa-type,Centaurea cyanus-type,HERB
Centaurea montana,Centaurea montana-type,HERB
Centaurea montana t.,Centaurea montana-type,HERB
Centaurea montana-type,Centaurea montana-type,HERB
Asteraceae Centaurea sol.,Centaurea nigra-type,HERB
Centaurea jacea,Centaurea nigra-type,HERB
Centaurea jacea T,Centaurea nigra-type,HERB
Centaurea jacea type,Centaurea nigra-type,HERB
Centaurea jacea-type,Centaurea nigra-type,HERB
Centaurea nigra,Centaurea nigra-type,HERB
Centaurea nigra  type,Centaurea nigra-type,HERB
Centaurea nigra t.,Centaurea nigra-type,HERB
Centaurea nigra type,Centaurea nigra-type,HERB
Centaurea nigra-type,Centaurea nigra-type,HERB
Centaurea rhenana,Centaurea nigra-type,HERB
Centaurea rhenana-type,Centaurea nigra-type,HERB
Centaurea solstitialis,Centaurea nigra-type,HERB
Centaurea solstitialis-type,Centaurea nigra-type,HERB
Centaureanigra,Centaurea nigra-type,HERB
Centaurea collina,Centaurea scabiosa-type,HERB
Centaurea collina-type,Centaurea scabiosa-type,HERB
Centaurea scabiosa,Centaurea scabiosa-type,HERB
Centaurea scabiosa t.,Centaurea scabiosa-type,HERB
Centaurea scabiosa-type,Centaurea scabiosa-type,HERB
Centaurium,Centaurium,HERB
Centaurium maritimum,Centaurium,HERB
Centaurium pulchellum T,Centaurium,HERB
Centaurium pulchellum-type,Centaurium,HERB
Centaurium-type,Centaurium,HERB
Centranthus,Centranthus,HERB
Centropexis,Centropyxis,ALGA
Centropyxis,Centropyxis,NOPO
Centropyxis,Centropyxis,ALGA
Centropyxis sp.,Centropyxis,ALGA
Centropyxis aculeata,Centropyxis aculeata,ALGA
Centropyxis platystoma,Centropyxis platystoma,TEAM
Cephalanthus,Cephalanthus,TRSH
Isoetes histrix,Cephaloceraton histrix,AQUA
Cephalomappa,Cephalomappa,TRSH
Cerastium,Cerastium-type,HERB
Cerastium alpinum-type,Cerastium-type,HERB
Cerastium arvense-type,Cerastium-type,HERB
Cerastium cerastioides-type,Cerastium-type,HERB
Cerastium fontanum T,Cerastium-type,HERB
Cerastium fontanum type,Cerastium-type,HERB
Cerastium fontanum-type,Cerastium-type,HERB
Cerastium group,Cerastium-type,HERB
Cerastium typ,Cerastium-type,HERB
Cerastium-type,Cerastium-type,HERB
Cerastium/Stellaria-type,Cerastium-type,HERB
Stellaria,Cerastium-type,HERB
Stellaria cf. S. graminea,Cerastium-type,HERB
Stellaria nemorum,Cerastium-type,HERB
Stellaria palustris,Cerastium-type,AQUA
Stellaria-type,Cerastium-type,HERB
Ceratonia,Ceratonia siliqua,TRSH
Ceratonia siliqua,Ceratonia siliqua,TRSH
Ceratophyllum,Ceratophyllum: macroremains,MACR
Ceratophyllum hair,Ceratophyllum: macroremains,MACR
Ceratophyllum,Ceratophyllum: spines,AQUA
Ceratophyllum hair,Ceratophyllum: spines,VEMI
Ceratophyllum kolce,Ceratophyllum: spines,VEMI
Ceratophyllum leaf spines,Ceratophyllum: spines,VEMI
Ceratophyllum spines,Ceratophyllum: spines,VEMI
Ceratophyllum spines,Ceratophyllum: spines,MACR
Ceratophyllum: spines,Ceratophyllum: spines,MACR
Ceratophyllum: spines,Ceratophyllum: spines,VEMI
Cercis,Cercis siliquastrum,TRSH
Cercis siliquastrum,Cercis siliquastrum,TRSH
Cercophora sp. (Type HdV-112A),Cercophora sp. (Type HdV-112A),FUNG
Cercophora,Cercophora-type,FUNG
Cercophora sp,Cercophora-type,FUNG
Cercophora-type,Cercophora-type,FUNG
CEREALIA t.,Cerealia-type,HERB
Cereal  type,Cerealia-type,HERB
Cereal type,Cerealia-type,HERB
Cereale,Cerealia-type,HERB
Cereales,Cerealia-type,HERB
Cerealia,Cerealia-type,HERB
Cerealia (excl. Secale),Cerealia-type,HERB
Cerealia 40-50µm,Cerealia-type,HERB
Cerealia >50µm,Cerealia-type,HERB
Cerealia T,Cerealia-type,HERB
Cerealia indiff.,Cerealia-type,HERB
Cerealia p.p.,Cerealia-type,HERB
Cerealia pro parte,Cerealia-type,HERB
Cerealia undiff.,Cerealia-type,HERB
Cerealia undiff. type,Cerealia-type,HERB
Cerealia undifferentiated,Cerealia-type,HERB
Cerealia-t.,Cerealia-type,HERB
Cerealia-type,Cerealia-type,HERB
Cerealia-type (excl. Secale),Cerealia-type,HERB
Cerealtype40-60,Cerealia-type,HERB
Gramineae 40-49 _m,Cerealia-type,HERB
Gramineae 40-50 _m,Cerealia-type,HERB
Gramineae 50-60 _m,Cerealia-type,HERB
Gramineae >42µm,Cerealia-type,HERB
Gramineae >50 _m,Cerealia-type,HERB
Gramineae >60 _m,Cerealia-type,HERB
Gramineae(>40),Cerealia-type,HERB
Hordeum group,Cerealia-type,HERB
POACEAE > 45 µm,Cerealia-type,HERB
Poaceae (> 40 um),Cerealia-type,HERB
Poaceae (annulus 8-10 um),Cerealia-type,HERB
Poaceae (annulus >10 um),Cerealia-type,HERB
Poaceae (annulus >8 um),Cerealia-type,HERB
Poaceae >40micron (Cereals),Cerealia-type,HERB
Poaceae >40µm,Cerealia-type,HERB
Poaceae Cerealia,Cerealia-type,HERB
Poaceae Pore>8,Cerealia-type,HERB
Poaceae annulus 8-10µm,Cerealia-type,HERB
Poaceae annulus >10µm,Cerealia-type,HERB
Poaceae annulus >8µm,Cerealia-type,HERB
Poaceae cereal-type,Cerealia-type,HERB
Poaceae large,Cerealia-type,HERB
Poaceae undif.>40√¶m,Cerealia-type,HERB
Poaceae undiff. >40 -_m,Cerealia-type,HERB
Poaceae>40,Cerealia-type,HERB
Secale,Cerealia-type,HERB
Triticum/Hordeum,Cerealia-type,HERB
cereal type,Cerealia-type,HERB
Cerinthe,Cerinthe,HERB
Cerinthe minor,Cerinthe,HERB
Cerinthe-type,Cerinthe,HERB
Ceriops,Ceriops,TRSH
Chaenorhinum,Chaenorhinum minus,HERB
CHAEROPHYLLUM HIRSUTUM,Chaerophyllum hirsutum-type,HERB
Chaerophyllum hirsutum T,Chaerophyllum hirsutum-type,HERB
Chaerophyllum hirsutum-type,Chaerophyllum hirsutum-type,HERB
Chaetomium,Chaetomium,FUNG
Chamaerhodos-type,Chamaerhodos-type,HERB
Chamaerops,Chamaerops humilis,TRSH
Chamaerops humilis,Chamaerops humilis,TRSH
Burn tissues,Charcoal,CHAR
Charcoal,Charcoal,CHAR
Charcoal,Charcoal,MACR
Holzkohlepartikel,Charcoal,CHAR
Charcoal,Charcoal 10-20µm,CHAR
Charcoal 10-20 _m,Charcoal 10-20µm,CHAR
Charcoal 10-50,Charcoal 10-50¦m,CHAR
Conc charcoal 10-50,Charcoal 10-50¦m concentration,CHAR
Charcoal 20-30 _m,Charcoal 20-30µm,CHAR
Charcoal 3-10 _m,Charcoal 3-10µm,CHAR
Charcoal 30-40 _m,Charcoal 30-40µm,CHAR
Charcoal 50-125 _m,Charcoal 50-125µm,CHAR
Charcoal 50-125µm,Charcoal 50-125µm,CHAR
Carboni grandi contati,Charcoal 50-250µm,CHAR
Conc charcoal 50-250,Charcoal 50-250µm concentration,CHAR
Concentrazione carbone G (Part/cm3),Charcoal 50-250µm concentration,CHAR
"charcoal <0,025mm",Charcoal <25µm,CHAR
Charcoal <40µm,Charcoal <40µm,CHAR
Carboni piccoli contati,Charcoal <50µm,CHAR
Charcoal <50 -_m,Charcoal <50µm,CHAR
Charcoal <50µm,Charcoal <50µm,CHAR
Charcoal <50µm concentration,Charcoal <50µm concentration,CHAR
Charcoal concentration,Charcoal <50µm concentration,CHAR
Concentrazione carbone P (Part/cm3),Charcoal <50µm concentration,CHAR
Charcoal >0.1mm,Charcoal >100µm,CHAR
Charcoal >100 _m,Charcoal >100µm,CHAR
Charcoal >100µm,Charcoal >100µm,CHAR
"charcoal >0,100mm",Charcoal >100µm,CHAR
Charcoal >10µm,Charcoal >10µm,CHAR
Charcoal >125 _m,Charcoal >125µm,CHAR
"charcoal >0,025mm",Charcoal >25µm,CHAR
Charcoal >40 _m,Charcoal >40µm,CHAR
Charcoal >40µm,Charcoal >40µm,CHAR
Charcoal >45µm,Charcoal >45µm,CHAR
Charcoal >50,Charcoal >50µm,CHAR
Charcoal >50µm,Charcoal >50µm,CHAR
Charcoal >50µm concentration,Charcoal >50µm concentration,CHAR
Charcoal/1000,Charcoal/1000,CHAR
"Asteraceae, Onopordon",Chardinia/Onopordon,HERB
Onopordum-type,Chardinia/Onopordon,HERB
charred material <100 µm,Charred material <100 µm,NOPO
charred material >100 µm,Charred material >100 µm,NOPO
Charred particles >100 µm,Charred particles >100 µm,NOPO
Cheilanthes,Cheilanthes,VACR
Cheilanthes-type,Cheilanthes,VACR
Chelidonium,Chelidonium majus,HERB
Chelidonium majus,Chelidonium majus,HERB
Alternanthera,Chenopodiaceae/Amaranthaceae,HERB
Amar.-Chenop.,Chenopodiaceae/Amaranthaceae,HERB
Amaranthaceae,Chenopodiaceae/Amaranthaceae,HERB
Amaranthaceae+Chenopodiaceae,Chenopodiaceae/Amaranthaceae,HERB
Amaranthaceae/Chenopodiaceae,Chenopodiaceae/Amaranthaceae,HERB
Amaranthus,Chenopodiaceae/Amaranthaceae,HERB
Atriplex,Chenopodiaceae/Amaranthaceae,HERB
Atriplex nudicaulis,Chenopodiaceae/Amaranthaceae,HERB
CHENOPODIACEAE,Chenopodiaceae/Amaranthaceae,HERB
CHENOPODIACEAE/AMARANTHACEAE,Chenopodiaceae/Amaranthaceae,HERB
Chen-eae,Chenopodiaceae/Amaranthaceae,HERB
Chenopo.,Chenopodiaceae/Amaranthaceae,HERB
Chenopodiaceae,Chenopodiaceae/Amaranthaceae,HERB
Chenopodiaceae Sueda/Atriplex type,Chenopodiaceae/Amaranthaceae,HERB
Chenopodiaceae and Amaran.,Chenopodiaceae/Amaranthaceae,HERB
Chenopodiaceae and Amaranthaceae,Chenopodiaceae/Amaranthaceae,HERB
Chenopodiaceae pro parte,Chenopodiaceae/Amaranthaceae,HERB
Chenopodiaceae sensu lato,Chenopodiaceae/Amaranthaceae,HERB
Chenopodiaceae undiff.,Chenopodiaceae/Amaranthaceae,HERB
Chenopodiaceae+Chenopodium,Chenopodiaceae/Amaranthaceae,HERB
"Chenopodiaceae, Noaea type",Chenopodiaceae/Amaranthaceae,HERB
"Chenopodiaceae, Salsola type",Chenopodiaceae/Amaranthaceae,HERB
Chenopodiaceae-Amaranthaceae,Chenopodiaceae/Amaranthaceae,HERB
Chenopodiaceae-type,Chenopodiaceae/Amaranthaceae,HERB
Chenopodiaceae/Amaranthaceae,Chenopodiaceae/Amaranthaceae,HERB
Chenopodiaceae/Amaranthaceae undifferentiated,Chenopodiaceae/Amaranthaceae,HERB
Chenopodium,Chenopodiaceae/Amaranthaceae,HERB
Chenopodium album,Chenopodiaceae/Amaranthaceae,HERB
Chenopodium type,Chenopodiaceae/Amaranthaceae,HERB
Koch._sc.-a,Chenopodiaceae/Amaranthaceae,HERB
Kochia,Chenopodiaceae/Amaranthaceae,HERB
Kochia laniflora,Chenopodiaceae/Amaranthaceae,HERB
Noaea-type,Chenopodiaceae/Amaranthaceae,HERB
Salsola,Chenopodiaceae/Amaranthaceae,HERB
Spinacia-type,Chenopodiaceae/Amaranthaceae,HERB
Suaeda-type,Chenopodiaceae/Amaranthaceae,HERB
Chimaphila umbellata,Chimaphila umbellata,HERB
Chironomid,Chironomidae,NOPO
Chironomidae,Chironomidae,INVE
mandibola di chironomide,Chironomidae: mandible,INVE
Chloranthus,Chloranthus,HERB
Chlorococcales,Chlorococcales,ALGA
Rhynchodia,Chonemorpha,LIAN
Chosenia,Chosenia,TRSH
Croton,Chrozophora,HERB
Crozophora,Chrozophora,HERB
Chrysosplenium,Chrysosplenium,HERB
Chrysosplenium-type,Chrysosplenium,HERB
Chukrasia,Chukrasia,TRSH
Cicendia,Cicendia,HERB
Cicuta virosa,Cicuta virosa,HERB
Circaea,Circaea,HERB
Circaea alpina,Circaea,HERB
Asteraceae Circium type,Cirsium,HERB
Asteraceae cirsium type,Cirsium,HERB
CIRSIUM,Cirsium,HERB
Cirsium,Cirsium,HERB
Cirsium t.,Cirsium,HERB
Cirsium type,Cirsium,HERB
Cirsium-type,Cirsium,HERB
Cistaceae,Cistaceae,HERB
Cistaceae undiff.,Cistaceae,HERB
Cistus,Cistus,HERB
Cistus,Cistus,TRSH
Cistus cf. C. incanus,Cistus,TRSH
Cistus crispus-type,Cistus,TRSH
Cistus p.p.,Cistus,TRSH
Cistus pro parte,Cistus,TRSH
Cistus t. undiff.,Cistus,TRSH
Cistus type,Cistus,TRSH
Cistus undiff.,Cistus,HERB
Cistus-type,Cistus,TRSH
Cistus-type,Cistus,HERB
Cistus-type undiff.,Cistus,TRSH
Cistus albidus-type,Cistus albidus-type,TRSH
Cistus albidus-type,Cistus albidus-type,HERB
Cistus incanus type,Cistus albidus-type,TRSH
Cistus incanus-type,Cistus albidus-type,HERB
Cistus villosus-type,Cistus albidus-type,HERB
Cistus ladanifer,Cistus ladanifer-type,TRSH
Cistus ladanifer,Cistus ladanifer-type,HERB
Cistus ladanifer-type,Cistus ladanifer-type,HERB
Cistus ladanifer-type,Cistus ladanifer-type,TRSH
Cistus ladanifer/populifolius types,Cistus ladanifer-type,TRSH
Cistus populifolius-type,Cistus ladanifer-type,HERB
Cistus monspeliensis,Cistus monspeliensis-type,TRSH
Cistus monspeliensis,Cistus monspeliensis-type,HERB
Cistus monspeliensis t.,Cistus monspeliensis-type,TRSH
Cistus monspeliensis type,Cistus monspeliensis-type,TRSH
Cistus monspeliensis-type,Cistus monspeliensis-type,HERB
Cistus salvifolius,Cistus salvifolius,TRSH
Cistus salvifolius,Cistus salvifolius,HERB
Cistus salviifolius-type,Cistus salvifolius,TRSH
Helianthemum,Cistus/Helianthemum,TRSH
cf Citrillus,Citrullus,HERB
Citrus,Citrus,TRSH
Cladium,Cladium mariscus,AQUA
Cladium cf,Cladium mariscus,AQUA
Cladium mariscus,Cladium mariscus,AQUA
Cladocera,Cladocera,MICR
Claoxylon,Claoxylon,TRSH
Clathrulina elegans,Clathrulina elegans,RHIZ
Claytonia,Claytonia,HERB
Claytonia acutifolia,Claytonia,HERB
Claytonia undiff.,Claytonia,HERB
Clematis,Clematis,TRSH
Clematis vitalba-group,Clematis,TRSH
Clematis-group,Clematis,TRSH
Clematis-type,Clematis,TRSH
Clerodendrum,Clerodendrum,TRSH
Clethra,Clethra,TRSH
Closterium,Closterium,NOPO
Cocculus,Cocculus,TRSH
Coelastrum,Coelastrum,ALGA
Coelastrum sp.,Coelastrum,ALGA
Coelastrum reticulatum,Coelastrum reticulatum,CHLO
Coelastrum reticulatum,Coelastrum reticulatum,ALGA
Colchicum,Colchicum-type,HERB
Colchicum autumnale-type,Colchicum-type,HERB
Colchicum-type,Colchicum-type,HERB
Colchicum/Merendera,Colchicum-type,HERB
Colutea,Colutea,TRSH
